STATE,DIFFERENT_STATE_MOVE_IN
Alabama,115641
Alaska,31378
Arizona,264948
Arkansas,76108
California,433402
Colorado,250031
Connecticut,106618
Delaware,42551
D.C.,57746
Florida,674740
Georgia,302512
Hawaii,71626
Idaho,96388
Illinois,195177
Indiana,156417
Iowa,77245
Kansas,102319
Kentucky,107693
Louisiana,81944
Maine,43492
Maryland,160016
Massachusetts,158311
Michigan,143042
Minnesota,93286
Mississippi,59759
Missouri,165921
Montana,44531
Nebraska,43287
Nevada,132648
New Hampshire,53245
New Jersey,195828
New Mexico,68019
New York,287249
North Carolina,336681
North Dakota,37844
Ohio,184477
Oklahoma,108288
Oregon,133935
Pennsylvania,261831
Puerto Rico,27380
Rhode Island,43266
South Carolina,196200
South Dakota,27528
Tennessee,220591
Texas,591395
Utah,101051
Vermont,31809
Virginia,272693
Washington,225306
West Virginia,43801
Wisconsin,122742
Wyoming,27281
